GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57,HD01_VD58,HD02_VD58,HD01_VD59,HD02_VD59,HD01_VD60,HD02_VD60,HD01_VD61,HD02_VD61,HD01_VD62,HD02_VD62,HD01_VD63,HD02_VD63,HD01_VD64,HD02_VD64,HD01_VD65,HD02_VD65,HD01_VD66,HD02_VD66,HD01_VD67,HD02_VD67,HD01_VD68,HD02_VD68,HD01_VD69,HD02_VD69,HD01_VD70,HD02_VD70,HD01_VD71,HD02_VD71,HD01_VD72,HD02_VD72,HD01_VD73,HD02_VD73,HD01_VD74,HD02_VD74,HD01_VD75,HD02_VD75,HD01_VD76,HD02_VD76,HD01_VD77,HD02_VD77,HD01_VD78,HD02_VD78,HD01_VD79,HD02_VD79,HD01_VD80,HD02_VD80,HD01_VD81,HD02_VD81,HD01_VD82,HD02_VD82,HD01_VD83,HD02_VD83,HD01_VD84,HD02_VD84,HD01_VD85,HD02_VD85,HD01_VD86,HD02_VD86,HD01_VD87,HD02_VD87,HD01_VD88,HD02_VD88,HD01_VD89,HD02_VD89,HD01_VD90,HD02_VD90,HD01_VD91,HD02_VD91,HD01_VD92,HD02_VD92,HD01_VD93,HD02_VD93,HD01_VD94,HD02_VD94,HD01_VD95,HD02_VD95,HD01_VD96,HD02_VD96,HD01_VD97,HD02_VD97,HD01_VD98,HD02_VD98,HD01_VD99,HD02_VD99,HD01_VD100,HD02_VD100,HD01_VD101,HD02_VD101,HD01_VD102,HD02_VD102,HD01_VD103,HD02_VD103,HD01_VD104,HD02_VD104,HD01_VD105,HD02_VD105,HD01_VD106,HD02_VD106,HD01_VD107,HD02_VD107,HD01_VD108,HD02_VD108,HD01_VD109,HD02_VD109,HD01_VD110,HD02_VD110,HD01_VD111,HD02_VD111,HD01_VD112,HD02_VD112,HD01_VD113,HD02_VD113,HD01_VD114,HD02_VD114,HD01_VD115,HD02_VD115,HD01_VD116,HD02_VD116,HD01_VD117,HD02_VD117,HD01_VD118,HD02_VD118,HD01_VD119,HD02_VD119,HD01_VD120,HD02_VD120,HD01_VD121,HD02_VD121,HD01_VD122,HD02_VD122,HD01_VD123,HD02_VD123,HD01_VD124,HD02_VD124,HD01_VD125,HD02_VD125,HD01_VD126,HD02_VD126,HD01_VD127,HD02_VD127,HD01_VD128,HD02_VD128,HD01_VD129,HD02_VD129,HD01_VD130,HD02_VD130,HD01_VD131,HD02_VD131
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Under 6 years:,Margin of Error; Under 6 years:,Estimate; Under 6 years: - Under .50,Margin of Error; Under 6 years: - Under .50,Estimate; Under 6 years: - .50 to .74,Margin of Error; Under 6 years: - .50 to .74,Estimate; Under 6 years: - .75 to .99,Margin of Error; Under 6 years: - .75 to .99,Estimate; Under 6 years: - 1.00 to 1.24,Margin of Error; Under 6 years: - 1.00 to 1.24,Estimate; Under 6 years: - 1.25 to 1.49,Margin of Error; Under 6 years: - 1.25 to 1.49,Estimate; Under 6 years: - 1.50 to 1.74,Margin of Error; Under 6 years: - 1.50 to 1.74,Estimate; Under 6 years: - 1.75 to 1.84,Margin of Error; Under 6 years: - 1.75 to 1.84,Estimate; Under 6 years: - 1.85 to 1.99,Margin of Error; Under 6 years: - 1.85 to 1.99,Estimate; Under 6 years: - 2.00 to 2.99,Margin of Error; Under 6 years: - 2.00 to 2.99,Estimate; Under 6 years: - 3.00 to 3.99,Margin of Error; Under 6 years: - 3.00 to 3.99,Estimate; Under 6 years: - 4.00 to 4.99,Margin of Error; Under 6 years: - 4.00 to 4.99,Estimate; Under 6 years: - 5.00 and over,Margin of Error; Under 6 years: - 5.00 and over,Estimate; 6 to 11 years:,Margin of Error; 6 to 11 years:,Estimate; 6 to 11 years: - Under .50,Margin of Error; 6 to 11 years: - Under .50,Estimate; 6 to 11 years: - .50 to .74,Margin of Error; 6 to 11 years: - .50 to .74,Estimate; 6 to 11 years: - .75 to .99,Margin of Error; 6 to 11 years: - .75 to .99,Estimate; 6 to 11 years: - 1.00 to 1.24,Margin of Error; 6 to 11 years: - 1.00 to 1.24,Estimate; 6 to 11 years: - 1.25 to 1.49,Margin of Error; 6 to 11 years: - 1.25 to 1.49,Estimate; 6 to 11 years: - 1.50 to 1.74,Margin of Error; 6 to 11 years: - 1.50 to 1.74,Estimate; 6 to 11 years: - 1.75 to 1.84,Margin of Error; 6 to 11 years: - 1.75 to 1.84,Estimate; 6 to 11 years: - 1.85 to 1.99,Margin of Error; 6 to 11 years: - 1.85 to 1.99,Estimate; 6 to 11 years: - 2.00 to 2.99,Margin of Error; 6 to 11 years: - 2.00 to 2.99,Estimate; 6 to 11 years: - 3.00 to 3.99,Margin of Error; 6 to 11 years: - 3.00 to 3.99,Estimate; 6 to 11 years: - 4.00 to 4.99,Margin of Error; 6 to 11 years: - 4.00 to 4.99,Estimate; 6 to 11 years: - 5.00 and over,Margin of Error; 6 to 11 years: - 5.00 and over,Estimate; 12 to 17 years:,Margin of Error; 12 to 17 years:,Estimate; 12 to 17 years: - Under .50,Margin of Error; 12 to 17 years: - Under .50,Estimate; 12 to 17 years: - .50 to .74,Margin of Error; 12 to 17 years: - .50 to .74,Estimate; 12 to 17 years: - .75 to .99,Margin of Error; 12 to 17 years: - .75 to .99,Estimate; 12 to 17 years: - 1.00 to 1.24,Margin of Error; 12 to 17 years: - 1.00 to 1.24,Estimate; 12 to 17 years: - 1.25 to 1.49,Margin of Error; 12 to 17 years: - 1.25 to 1.49,Estimate; 12 to 17 years: - 1.50 to 1.74,Margin of Error; 12 to 17 years: - 1.50 to 1.74,Estimate; 12 to 17 years: - 1.75 to 1.84,Margin of Error; 12 to 17 years: - 1.75 to 1.84,Estimate; 12 to 17 years: - 1.85 to 1.99,Margin of Error; 12 to 17 years: - 1.85 to 1.99,Estimate; 12 to 17 years: - 2.00 to 2.99,Margin of Error; 12 to 17 years: - 2.00 to 2.99,Estimate; 12 to 17 years: - 3.00 to 3.99,Margin of Error; 12 to 17 years: - 3.00 to 3.99,Estimate; 12 to 17 years: - 4.00 to 4.99,Margin of Error; 12 to 17 years: - 4.00 to 4.99,Estimate; 12 to 17 years: - 5.00 and over,Margin of Error; 12 to 17 years: - 5.00 and over,Estimate; 18 to 24 years:,Margin of Error; 18 to 24 years:,Estimate; 18 to 24 years: - Under .50,Margin of Error; 18 to 24 years: - Under .50,Estimate; 18 to 24 years: - .50 to .74,Margin of Error; 18 to 24 years: - .50 to .74,Estimate; 18 to 24 years: - .75 to .99,Margin of Error; 18 to 24 years: - .75 to .99,Estimate; 18 to 24 years: - 1.00 to 1.24,Margin of Error; 18 to 24 years: - 1.00 to 1.24,Estimate; 18 to 24 years: - 1.25 to 1.49,Margin of Error; 18 to 24 years: - 1.25 to 1.49,Estimate; 18 to 24 years: - 1.50 to 1.74,Margin of Error; 18 to 24 years: - 1.50 to 1.74,Estimate; 18 to 24 years: - 1.75 to 1.84,Margin of Error; 18 to 24 years: - 1.75 to 1.84,Estimate; 18 to 24 years: - 1.85 to 1.99,Margin of Error; 18 to 24 years: - 1.85 to 1.99,Estimate; 18 to 24 years: - 2.00 to 2.99,Margin of Error; 18 to 24 years: - 2.00 to 2.99,Estimate; 18 to 24 years: - 3.00 to 3.99,Margin of Error; 18 to 24 years: - 3.00 to 3.99,Estimate; 18 to 24 years: - 4.00 to 4.99,Margin of Error; 18 to 24 years: - 4.00 to 4.99,Estimate; 18 to 24 years: - 5.00 and over,Margin of Error; 18 to 24 years: - 5.00 and over,Estimate; 25 to 34 years:,Margin of Error; 25 to 34 years:,Estimate; 25 to 34 years: - Under .50,Margin of Error; 25 to 34 years: - Under .50,Estimate; 25 to 34 years: - .50 to .74,Margin of Error; 25 to 34 years: - .50 to .74,Estimate; 25 to 34 years: - .75 to .99,Margin of Error; 25 to 34 years: - .75 to .99,Estimate; 25 to 34 years: - 1.00 to 1.24,Margin of Error; 25 to 34 years: - 1.00 to 1.24,Estimate; 25 to 34 years: - 1.25 to 1.49,Margin of Error; 25 to 34 years: - 1.25 to 1.49,Estimate; 25 to 34 years: - 1.50 to 1.74,Margin of Error; 25 to 34 years: - 1.50 to 1.74,Estimate; 25 to 34 years: - 1.75 to 1.84,Margin of Error; 25 to 34 years: - 1.75 to 1.84,Estimate; 25 to 34 years: - 1.85 to 1.99,Margin of Error; 25 to 34 years: - 1.85 to 1.99,Estimate; 25 to 34 years: - 2.00 to 2.99,Margin of Error; 25 to 34 years: - 2.00 to 2.99,Estimate; 25 to 34 years: - 3.00 to 3.99,Margin of Error; 25 to 34 years: - 3.00 to 3.99,Estimate; 25 to 34 years: - 4.00 to 4.99,Margin of Error; 25 to 34 years: - 4.00 to 4.99,Estimate; 25 to 34 years: - 5.00 and over,Margin of Error; 25 to 34 years: - 5.00 and over,Estimate; 35 to 44 years:,Margin of Error; 35 to 44 years:,Estimate; 35 to 44 years: - Under .50,Margin of Error; 35 to 44 years: - Under .50,Estimate; 35 to 44 years: - .50 to .74,Margin of Error; 35 to 44 years: - .50 to .74,Estimate; 35 to 44 years: - .75 to .99,Margin of Error; 35 to 44 years: - .75 to .99,Estimate; 35 to 44 years: - 1.00 to 1.24,Margin of Error; 35 to 44 years: - 1.00 to 1.24,Estimate; 35 to 44 years: - 1.25 to 1.49,Margin of Error; 35 to 44 years: - 1.25 to 1.49,Estimate; 35 to 44 years: - 1.50 to 1.74,Margin of Error; 35 to 44 years: - 1.50 to 1.74,Estimate; 35 to 44 years: - 1.75 to 1.84,Margin of Error; 35 to 44 years: - 1.75 to 1.84,Estimate; 35 to 44 years: - 1.85 to 1.99,Margin of Error; 35 to 44 years: - 1.85 to 1.99,Estimate; 35 to 44 years: - 2.00 to 2.99,Margin of Error; 35 to 44 years: - 2.00 to 2.99,Estimate; 35 to 44 years: - 3.00 to 3.99,Margin of Error; 35 to 44 years: - 3.00 to 3.99,Estimate; 35 to 44 years: - 4.00 to 4.99,Margin of Error; 35 to 44 years: - 4.00 to 4.99,Estimate; 35 to 44 years: - 5.00 and over,Margin of Error; 35 to 44 years: - 5.00 and over,Estimate; 45 to 54 years:,Margin of Error; 45 to 54 years:,Estimate; 45 to 54 years: - Under .50,Margin of Error; 45 to 54 years: - Under .50,Estimate; 45 to 54 years: - .50 to .74,Margin of Error; 45 to 54 years: - .50 to .74,Estimate; 45 to 54 years: - .75 to .99,Margin of Error; 45 to 54 years: - .75 to .99,Estimate; 45 to 54 years: - 1.00 to 1.24,Margin of Error; 45 to 54 years: - 1.00 to 1.24,Estimate; 45 to 54 years: - 1.25 to 1.49,Margin of Error; 45 to 54 years: - 1.25 to 1.49,Estimate; 45 to 54 years: - 1.50 to 1.74,Margin of Error; 45 to 54 years: - 1.50 to 1.74,Estimate; 45 to 54 years: - 1.75 to 1.84,Margin of Error; 45 to 54 years: - 1.75 to 1.84,Estimate; 45 to 54 years: - 1.85 to 1.99,Margin of Error; 45 to 54 years: - 1.85 to 1.99,Estimate; 45 to 54 years: - 2.00 to 2.99,Margin of Error; 45 to 54 years: - 2.00 to 2.99,Estimate; 45 to 54 years: - 3.00 to 3.99,Margin of Error; 45 to 54 years: - 3.00 to 3.99,Estimate; 45 to 54 years: - 4.00 to 4.99,Margin of Error; 45 to 54 years: - 4.00 to 4.99,Estimate; 45 to 54 years: - 5.00 and over,Margin of Error; 45 to 54 years: - 5.00 and over,Estimate; 55 to 64 years:,Margin of Error; 55 to 64 years:,Estimate; 55 to 64 years: - Under .50,Margin of Error; 55 to 64 years: - Under .50,Estimate; 55 to 64 years: - .50 to .74,Margin of Error; 55 to 64 years: - .50 to .74,Estimate; 55 to 64 years: - .75 to .99,Margin of Error; 55 to 64 years: - .75 to .99,Estimate; 55 to 64 years: - 1.00 to 1.24,Margin of Error; 55 to 64 years: - 1.00 to 1.24,Estimate; 55 to 64 years: - 1.25 to 1.49,Margin of Error; 55 to 64 years: - 1.25 to 1.49,Estimate; 55 to 64 years: - 1.50 to 1.74,Margin of Error; 55 to 64 years: - 1.50 to 1.74,Estimate; 55 to 64 years: - 1.75 to 1.84,Margin of Error; 55 to 64 years: - 1.75 to 1.84,Estimate; 55 to 64 years: - 1.85 to 1.99,Margin of Error; 55 to 64 years: - 1.85 to 1.99,Estimate; 55 to 64 years: - 2.00 to 2.99,Margin of Error; 55 to 64 years: - 2.00 to 2.99,Estimate; 55 to 64 years: - 3.00 to 3.99,Margin of Error; 55 to 64 years: - 3.00 to 3.99,Estimate; 55 to 64 years: - 4.00 to 4.99,Margin of Error; 55 to 64 years: - 4.00 to 4.99,Estimate; 55 to 64 years: - 5.00 and over,Margin of Error; 55 to 64 years: - 5.00 and over,Estimate; 65 to 74 years:,Margin of Error; 65 to 74 years:,Estimate; 65 to 74 years: - Under .50,Margin of Error; 65 to 74 years: - Under .50,Estimate; 65 to 74 years: - .50 to .74,Margin of Error; 65 to 74 years: - .50 to .74,Estimate; 65 to 74 years: - .75 to .99,Margin of Error; 65 to 74 years: - .75 to .99,Estimate; 65 to 74 years: - 1.00 to 1.24,Margin of Error; 65 to 74 years: - 1.00 to 1.24,Estimate; 65 to 74 years: - 1.25 to 1.49,Margin of Error; 65 to 74 years: - 1.25 to 1.49,Estimate; 65 to 74 years: - 1.50 to 1.74,Margin of Error; 65 to 74 years: - 1.50 to 1.74,Estimate; 65 to 74 years: - 1.75 to 1.84,Margin of Error; 65 to 74 years: - 1.75 to 1.84,Estimate; 65 to 74 years: - 1.85 to 1.99,Margin of Error; 65 to 74 years: - 1.85 to 1.99,Estimate; 65 to 74 years: - 2.00 to 2.99,Margin of Error; 65 to 74 years: - 2.00 to 2.99,Estimate; 65 to 74 years: - 3.00 to 3.99,Margin of Error; 65 to 74 years: - 3.00 to 3.99,Estimate; 65 to 74 years: - 4.00 to 4.99,Margin of Error; 65 to 74 years: - 4.00 to 4.99,Estimate; 65 to 74 years: - 5.00 and over,Margin of Error; 65 to 74 years: - 5.00 and over,Estimate; 75 years and over:,Margin of Error; 75 years and over:,Estimate; 75 years and over: - Under .50,Margin of Error; 75 years and over: - Under .50,Estimate; 75 years and over: - .50 to .74,Margin of Error; 75 years and over: - .50 to .74,Estimate; 75 years and over: - .75 to .99,Margin of Error; 75 years and over: - .75 to .99,Estimate; 75 years and over: - 1.00 to 1.24,Margin of Error; 75 years and over: - 1.00 to 1.24,Estimate; 75 years and over: - 1.25 to 1.49,Margin of Error; 75 years and over: - 1.25 to 1.49,Estimate; 75 years and over: - 1.50 to 1.74,Margin of Error; 75 years and over: - 1.50 to 1.74,Estimate; 75 years and over: - 1.75 to 1.84,Margin of Error; 75 years and over: - 1.75 to 1.84,Estimate; 75 years and over: - 1.85 to 1.99,Margin of Error; 75 years and over: - 1.85 to 1.99,Estimate; 75 years and over: - 2.00 to 2.99,Margin of Error; 75 years and over: - 2.00 to 2.99,Estimate; 75 years and over: - 3.00 to 3.99,Margin of Error; 75 years and over: - 3.00 to 3.99,Estimate; 75 years and over: - 4.00 to 4.99,Margin of Error; 75 years and over: - 4.00 to 4.99,Estimate; 75 years and over: - 5.00 and over,Margin of Error; 75 years and over: - 5.00 and over
0400000US48,48,Texas,25478976,3344,2310513,4354,285163,5686,170668,4208,189282,4576,169047,3852,153500,3869,138813,4177,48552,2624,72050,2814,362690,4857,241405,4239,167500,3917,311843,4686,2335071,7967,246420,5354,168972,4367,187299,4160,166954,4313,149761,3480,142609,4137,50160,2353,69430,2752,372787,5593,254809,5121,177676,3562,348194,5708,2259543,6896,197563,4576,140991,3383,161645,4192,146503,3377,140049,3091,130776,3238,45892,2131,71328,2538,378136,5663,266882,4774,184762,4269,395016,5398,2481898,2674,328638,5311,142285,2811,165278,3824,166949,3989,163237,3782,153493,3461,58110,2564,83813,2690,435420,6074,278640,5429,179250,4156,326785,4791,3671235,2920,266633,3892,158952,3428,187008,4004,196644,4523,200949,3848,204567,4270,79390,3170,109393,3493,676257,7906,513742,7087,368860,6152,708840,6804,3484652,2117,192584,3790,138517,3576,168444,4103,165799,3770,170724,3510,170031,4069,62877,2127,95331,2777,582777,6924,476596,7144,378032,4964,882940,8008,3396988,2191,153199,3470,110282,3135,125007,3619,133523,3381,135412,3141,141152,3217,54761,1915,80325,2005,514052,5405,432392,5636,363007,5046,1153876,7821,2773614,1782,117343,2645,91340,2593,98130,2641,107029,2836,107806,2685,107076,2209,44129,1523,63047,2450,394654,4540,344888,4642,287081,4104,1011091,6383,1630349,1199,43989,1510,43843,1457,76622,1672,79801,1830,81932,2093,78543,2323,31464,930,45769,1704,283380,3841,218459,4066,168233,3193,478314,4375,1135113,1467,36940,1511,35950,1408,71047,1894,77607,2155,82346,1875,73254,2006,28366,1192,41728,1535,225290,3200,147267,2549,95995,2138,219323,3123
