GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD50,Margin of Error; 18 to 24 years: - 2.00 to 2.99
HD01_VD51,Estimate; 18 to 24 years: - 3.00 to 3.99
HD02_VD51,Margin of Error; 18 to 24 years: - 3.00 to 3.99
HD01_VD52,Estimate; 18 to 24 years: - 4.00 to 4.99
HD02_VD52,Margin of Error; 18 to 24 years: - 4.00 to 4.99
HD01_VD53,Estimate; 18 to 24 years: - 5.00 and over
HD02_VD53,Margin of Error; 18 to 24 years: - 5.00 and over
HD01_VD54,Estimate; 25 to 34 years:
HD02_VD54,Margin of Error; 25 to 34 years:
HD01_VD55,Estimate; 25 to 34 years: - Under .50
HD02_VD55,Margin of Error; 25 to 34 years: - Under .50
HD01_VD56,Estimate; 25 to 34 years: - .50 to .74
HD02_VD56,Margin of Error; 25 to 34 years: - .50 to .74
HD01_VD57,Estimate; 25 to 34 years: - .75 to .99
HD02_VD57,Margin of Error; 25 to 34 years: - .75 to .99
HD01_VD58,Estimate; 25 to 34 years: - 1.00 to 1.24
HD02_VD58,Margin of Error; 25 to 34 years: - 1.00 to 1.24
HD01_VD59,Estimate; 25 to 34 years: - 1.25 to 1.49
HD02_VD59,Margin of Error; 25 to 34 years: - 1.25 to 1.49
HD01_VD60,Estimate; 25 to 34 years: - 1.50 to 1.74
HD02_VD60,Margin of Error; 25 to 34 years: - 1.50 to 1.74
HD01_VD61,Estimate; 25 to 34 years: - 1.75 to 1.84
HD02_VD61,Margin of Error; 25 to 34 years: - 1.75 to 1.84
HD01_VD62,Estimate; 25 to 34 years: - 1.85 to 1.99
HD02_VD62,Margin of Error; 25 to 34 years: - 1.85 to 1.99
HD01_VD63,Estimate; 25 to 34 years: - 2.00 to 2.99
HD02_VD63,Margin of Error; 25 to 34 years: - 2.00 to 2.99
HD01_VD64,Estimate; 25 to 34 years: - 3.00 to 3.99
HD02_VD64,Margin of Error; 25 to 34 years: - 3.00 to 3.99
HD01_VD65,Estimate; 25 to 34 years: - 4.00 to 4.99
HD02_VD65,Margin of Error; 25 to 34 years: - 4.00 to 4.99
HD01_VD66,Estimate; 25 to 34 years: - 5.00 and over
HD02_VD66,Margin of Error; 25 to 34 years: - 5.00 and over
HD01_VD67,Estimate; 35 to 44 years:
HD02_VD67,Margin of Error; 35 to 44 years:
HD01_VD68,Estimate; 35 to 44 years: - Under .50
HD02_VD68,Margin of Error; 35 to 44 years: - Under .50
HD01_VD69,Estimate; 35 to 44 years: - .50 to .74
HD02_VD69,Margin of Error; 35 to 44 years: - .50 to .74
HD01_VD70,Estimate; 35 to 44 years: - .75 to .99
HD02_VD70,Margin of Error; 35 to 44 years: - .75 to .99
HD01_VD71,Estimate; 35 to 44 years: - 1.00 to 1.24
HD02_VD71,Margin of Error; 35 to 44 years: - 1.00 to 1.24
HD01_VD72,Estimate; 35 to 44 years: - 1.25 to 1.49
HD02_VD72,Margin of Error; 35 to 44 years: - 1.25 to 1.49
HD01_VD73,Estimate; 35 to 44 years: - 1.50 to 1.74
HD02_VD73,Margin of Error; 35 to 44 years: - 1.50 to 1.74
HD01_VD74,Estimate; 35 to 44 years: - 1.75 to 1.84
HD02_VD74,Margin of Error; 35 to 44 years: - 1.75 to 1.84
HD01_VD75,Estimate; 35 to 44 years: - 1.85 to 1.99
HD02_VD75,Margin of Error; 35 to 44 years: - 1.85 to 1.99
HD01_VD76,Estimate; 35 to 44 years: - 2.00 to 2.99
HD02_VD76,Margin of Error; 35 to 44 years: - 2.00 to 2.99
HD01_VD77,Estimate; 35 to 44 years: - 3.00 to 3.99
HD02_VD77,Margin of Error; 35 to 44 years: - 3.00 to 3.99
HD01_VD78,Estimate; 35 to 44 years: - 4.00 to 4.99
HD02_VD78,Margin of Error; 35 to 44 years: - 4.00 to 4.99
HD01_VD79,Estimate; 35 to 44 years: - 5.00 and over
HD02_VD79,Margin of Error; 35 to 44 years: - 5.00 and over
HD01_VD80,Estimate; 45 to 54 years:
HD02_VD80,Margin of Error; 45 to 54 years:
HD01_VD81,Estimate; 45 to 54 years: - Under .50
HD02_VD81,Margin of Error; 45 to 54 years: - Under .50
HD01_VD82,Estimate; 45 to 54 years: - .50 to .74
HD02_VD82,Margin of Error; 45 to 54 years: - .50 to .74
HD01_VD83,Estimate; 45 to 54 years: - .75 to .99
HD02_VD83,Margin of Error; 45 to 54 years: - .75 to .99
HD01_VD84,Estimate; 45 to 54 years: - 1.00 to 1.24
HD02_VD84,Margin of Error; 45 to 54 years: - 1.00 to 1.24
HD01_VD85,Estimate; 45 to 54 years: - 1.25 to 1.49
HD02_VD85,Margin of Error; 45 to 54 years: - 1.25 to 1.49
HD01_VD86,Estimate; 45 to 54 years: - 1.50 to 1.74
HD02_VD86,Margin of Error; 45 to 54 years: - 1.50 to 1.74
HD01_VD87,Estimate; 45 to 54 years: - 1.75 to 1.84
HD02_VD87,Margin of Error; 45 to 54 years: - 1.75 to 1.84
