Migration Rate,Year,Area Code,Area Name,Age,Total Pop
2000-2010,2015,61,Cameron,1,"8,492"
2000-2010,2015,61,Cameron,2,"8,379"
2000-2010,2015,61,Cameron,3,"8,256"
2000-2010,2015,61,Cameron,4,"8,118"
2000-2010,2015,63,Camp,0,180
2000-2010,2015,63,Camp,1,177
2000-2010,2015,63,Camp,2,174
2000-2010,2015,63,Camp,3,171
2000-2010,2015,63,Camp,4,163
2000-2010,2015,65,Carson,0,68
2000-2010,2015,65,Carson,1,66
2000-2010,2015,65,Carson,2,65
2000-2010,2015,65,Carson,3,65
2000-2010,2015,65,Carson,4,63
2000-2010,2015,67,Cass,0,349
2000-2010,2015,67,Cass,1,348
2000-2010,2015,67,Cass,2,350
2000-2010,2015,67,Cass,3,356
2000-2010,2015,67,Cass,4,365
2000-2010,2015,69,Castro,0,130
2000-2010,2015,69,Castro,1,127
2000-2010,2015,69,Castro,2,121
2000-2010,2015,69,Castro,3,118
2000-2010,2015,69,Castro,4,118
2000-2010,2015,71,Chambers,0,475
2000-2010,2015,71,Chambers,1,465
2000-2010,2015,71,Chambers,2,461
2000-2010,2015,71,Chambers,3,450
2000-2010,2015,71,Chambers,4,460
2000-2010,2015,73,Cherokee,0,754
2000-2010,2015,73,Cherokee,1,744
2000-2010,2015,73,Cherokee,2,735
2000-2010,2015,73,Cherokee,3,728
2000-2010,2015,73,Cherokee,4,719
2000-2010,2015,75,Childress,0,86
2000-2010,2015,75,Childress,1,83
2000-2010,2015,75,Childress,2,82
2000-2010,2015,75,Childress,3,83
2000-2010,2015,75,Childress,4,81
2000-2010,2015,77,Clay,0,115
2000-2010,2015,77,Clay,1,115
2000-2010,2015,77,Clay,2,116
2000-2010,2015,77,Clay,3,114
2000-2010,2015,77,Clay,4,112
2000-2010,2015,79,Cochran,0,53
2000-2010,2015,79,Cochran,1,53
2000-2010,2015,79,Cochran,2,51
2000-2010,2015,79,Cochran,3,50
2000-2010,2015,79,Cochran,4,46
2000-2010,2015,81,Coke,0,28
2000-2010,2015,81,Coke,1,28
2000-2010,2015,81,Coke,2,28
2000-2010,2015,81,Coke,3,30
2000-2010,2015,81,Coke,4,28
2000-2010,2015,83,Coleman,0,105
2000-2010,2015,83,Coleman,1,104
2000-2010,2015,83,Coleman,2,104
2000-2010,2015,83,Coleman,3,98
2000-2010,2015,83,Coleman,4,100
2000-2010,2015,85,Collin,0,"11,344"
2000-2010,2015,85,Collin,1,"11,228"
2000-2010,2015,85,Collin,2,"11,142"
2000-2010,2015,85,Collin,3,"11,091"
2000-2010,2015,85,Collin,4,"11,180"
2000-2010,2015,87,Collingsworth,0,42
2000-2010,2015,87,Collingsworth,1,41
2000-2010,2015,87,Collingsworth,2,41
2000-2010,2015,87,Collingsworth,3,41
2000-2010,2015,87,Collingsworth,4,41
2000-2010,2015,89,Colorado,0,266
2000-2010,2015,89,Colorado,1,262
2000-2010,2015,89,Colorado,2,261
2000-2010,2015,89,Colorado,3,259
2000-2010,2015,89,Colorado,4,253
2000-2010,2015,91,Comal,0,"1,399"
2000-2010,2015,91,Comal,1,"1,372"
2000-2010,2015,91,Comal,2,"1,344"
2000-2010,2015,91,Comal,3,"1,318"
2000-2010,2015,91,Comal,4,"1,294"
2000-2010,2015,93,Comanche,0,180
2000-2010,2015,93,Comanche,1,180
2000-2010,2015,93,Comanche,2,177
2000-2010,2015,93,Comanche,3,178
2000-2010,2015,93,Comanche,4,175
2000-2010,2015,95,Concho,0,31
2000-2010,2015,95,Concho,1,32
2000-2010,2015,95,Concho,2,33
2000-2010,2015,95,Concho,3,31
2000-2010,2015,95,Concho,4,29
2000-2010,2015,97,Cooke,0,507
2000-2010,2015,97,Cooke,1,511
2000-2010,2015,97,Cooke,2,512
2000-2010,2015,97,Cooke,3,515
2000-2010,2015,97,Cooke,4,511
2000-2010,2015,99,Coryell,0,"1,020"
2000-2010,2015,99,Coryell,1,"1,055"
2000-2010,2015,99,Coryell,2,"1,087"
2000-2010,2015,99,Coryell,3,"1,123"
2000-2010,2015,99,Coryell,4,"1,201"
2000-2010,2015,101,Cottle,0,18
2000-2010,2015,101,Cottle,1,19
2000-2010,2015,101,Cottle,2,19
2000-2010,2015,101,Cottle,3,18
2000-2010,2015,101,Cottle,4,19
2000-2010,2015,103,Crane,0,74
2000-2010,2015,103,Crane,1,73
2000-2010,2015,103,Crane,2,69
2000-2010,2015,103,Crane,3,70
2000-2010,2015,103,Crane,4,65
2000-2010,2015,105,Crockett,0,58
2000-2010,2015,105,Crockett,1,57
2000-2010,2015,105,Crockett,2,57
2000-2010,2015,105,Crockett,3,55
2000-2010,2015,105,Crockett,4,54
2000-2010,2015,107,Crosby,0,92
2000-2010,2015,107,Crosby,1,89
2000-2010,2015,107,Crosby,2,85
2000-2010,2015,107,Crosby,3,84
2000-2010,2015,107,Crosby,4,83
2000-2010,2015,109,Culberson,0,46
2000-2010,2015,109,Culberson,1,44
2000-2010,2015,109,Culberson,2,42
2000-2010,2015,109,Culberson,3,42
2000-2010,2015,109,Culberson,4,40
2000-2010,2015,111,Dallam,0,127
2000-2010,2015,111,Dallam,1,126
2000-2010,2015,111,Dallam,2,128
2000-2010,2015,111,Dallam,3,129
2000-2010,2015,111,Dallam,4,128
2000-2010,2015,113,Dallas,0,"41,880"
2000-2010,2015,113,Dallas,1,"41,331"
2000-2010,2015,113,Dallas,2,"40,758"
2000-2010,2015,113,Dallas,3,"40,089"
2000-2010,2015,113,Dallas,4,"39,592"
2000-2010,2015,115,Dawson,0,186
2000-2010,2015,115,Dawson,1,188
2000-2010,2015,115,Dawson,2,178
2000-2010,2015,115,Dawson,3,179
2000-2010,2015,115,Dawson,4,171
2000-2010,2015,117,Deaf Smith,0,382
2000-2010,2015,117,Deaf Smith,1,380
2000-2010,2015,117,Deaf Smith,2,375
2000-2010,2015,117,Deaf Smith,3,375
2000-2010,2015,117,Deaf Smith,4,361
2000-2010,2015,119,Delta,0,59
2000-2010,2015,119,Delta,1,59
2000-2010,2015,119,Delta,2,59
2000-2010,2015,119,Delta,3,59
2000-2010,2015,119,Delta,4,58
2000-2010,2015,121,Denton,0,"10,116"
2000-2010,2015,121,Denton,1,"10,030"
2000-2010,2015,121,Denton,2,"9,982"
2000-2010,2015,121,Denton,3,"9,946"
2000-2010,2015,121,Denton,4,"10,018"
2000-2010,2015,123,DeWitt,0,243
2000-2010,2015,123,DeWitt,1,239
2000-2010,2015,123,DeWitt,2,243
2000-2010,2015,123,DeWitt,3,238
2000-2010,2015,123,DeWitt,4,234
2000-2010,2015,125,Dickens,0,20
2000-2010,2015,125,Dickens,1,21
2000-2010,2015,125,Dickens,2,21
