Migration Rate,Year,Area Code,Area Name,Age,Total Pop
2000-2010,2015,48,Texas,0,"411,955"
2000-2010,2015,48,Texas,1,"406,227"
2000-2010,2015,48,Texas,2,"400,790"
2000-2010,2015,48,Texas,3,"395,511"
2000-2010,2015,48,Texas,4,"391,351"
